model,model_version,scenario,region,layer,group,year,value,unit,source_regions,source_variables,source_file_id
IMAGE,3.4,SSP1-L,World,Secondary electricity,Wind,2060,86.822160,EJ/yr,World,Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Wind,2070,95.459541,EJ/yr,World,Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Wind,2080,106.099352,EJ/yr,World,Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Wind,2090,115.676930,EJ/yr,World,Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Wind,2100,119.165456,EJ/yr,World,Secondary Energy|Electricity|Wind|1; Secondary Energy|Electricity|Wind|2,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Other,2020,0.376190,EJ/yr,World,Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Other,2030,0.761831,EJ/yr,World,Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Other,2040,7.348939,EJ/yr,World,Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Other,2050,24.470588,EJ/yr,World,Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Other,2060,36.229725,EJ/yr,World,Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave,IMAGE 3.4_SSP1_L.xlsx
