model,model_version,scenario,region,year,stage,group,value,unit,source_regions,source_variables,source_file_id
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2040,Final electricity,Space heating,1.591705,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating|Electricity; Final Energy|Commercial|Space Heating|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2050,Final electricity,Space heating,1.129717,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating|Electricity; Final Energy|Commercial|Space Heating|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2060,Final electricity,Space heating,1.010782,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating|Electricity; Final Energy|Commercial|Space Heating|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2070,Final electricity,Space heating,1.138940,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating|Electricity; Final Energy|Commercial|Space Heating|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2080,Final electricity,Space heating,1.235507,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating|Electricity; Final Energy|Commercial|Space Heating|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2090,Final electricity,Space heating,1.263370,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating|Electricity; Final Energy|Commercial|Space Heating|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2100,Final electricity,Space heating,1.262768,EJ/yr,WEU; CEU,Final Energy|Residential|Space Heating|Electricity; Final Energy|Commercial|Space Heating|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2020,Energy service,Passenger mobility,8724.782944,billion pkm/yr,WEU; CEU,Energy Service|Transportation|Passenger,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2030,Energy service,Passenger mobility,11172.456503,billion pkm/yr,WEU; CEU,Energy Service|Transportation|Passenger,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2040,Energy service,Passenger mobility,12588.478088,billion pkm/yr,WEU; CEU,Energy Service|Transportation|Passenger,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2050,Energy service,Passenger mobility,13764.489651,billion pkm/yr,WEU; CEU,Energy Service|Transportation|Passenger,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2060,Energy service,Passenger mobility,14072.941065,billion pkm/yr,WEU; CEU,Energy Service|Transportation|Passenger,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2070,Energy service,Passenger mobility,14502.816677,billion pkm/yr,WEU; CEU,Energy Service|Transportation|Passenger,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2080,Energy service,Passenger mobility,14937.910795,billion pkm/yr,WEU; CEU,Energy Service|Transportation|Passenger,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2090,Energy service,Passenger mobility,15304.070711,billion pkm/yr,WEU; CEU,Energy Service|Transportation|Passenger,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2100,Energy service,Passenger mobility,15644.499302,billion pkm/yr,WEU; CEU,Energy Service|Transportation|Passenger,IMAGE 3.4_SSP2_VLHO.xlsx
