case,system,pathway,commissioning_year,operation_year,period,view,contributor,score_total_kg_co2eq,score_per_net_tonne_kg_co2eq,denominator_net_stored_tonnes,rank,unit,provenance_id
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,Forest regrowth,-8538779.819222614,-1143.1184003917824,7469.724760178917,1,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,Harvesting and biomass supply,174889.10443873148,23.413058720860082,7469.724760178917,2,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,Residual biogenic stack emissions,853878.0018494421,114.31184270690449,7469.724760178917,3,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,New CHP infrastructure and end-of-life,20617.067615257478,2.7600839759407214,7469.724760178917,4,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,Other CHP operating emissions,70978.00136778461,9.50209059190081,7469.724760178917,5,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,Avoided Northern European electricity,-178959.00696784203,-23.957911799089576,7469.724760178917,6,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,Avoided Northern European heat,-70748.57976072952,-9.471377063033168,7469.724760178917,7,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,Capture electricity,0.0,0.0,7469.724760178917,8,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,Compression and recompression,46699.00696432555,6.251770776518812,7469.724760178917,9,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,Pipeline and geological storage,164616.79164537785,22.0378657755838,7469.724760178917,10,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,Transport losses,215177.25646605933,28.80658436213992,7469.724760178917,11,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,Capture chemicals and operating materials,16239.048902771,2.173982231492829,7469.724760178917,12,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,CCS infrastructure and end-of-life,11218.585542006591,1.5018740184126784,7469.724760178917,13,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2031,annual,process,Other CHP and CCS supply-chain GHG emissions,0.12069339578018701,1.6157676441252988e-05,7469.724760178917,14,kg CO2-Eq,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,"forest carbon regrowth differential, existing spruce forest vs standing stock, LCSS 2026 | SE",-8538779.455058046,-1143.1183516397093,7469.724760178917,1,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,"operation of new Nordic spruce CHP with post-combustion capture, excluding capture equipment, LCSS 2026 | ENC",912907.8167427152,122.21438487391455,7469.724760178917,2,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,supply of forest residue | ENC,552661.2134413401,73.98682430543835,7469.724760178917,3,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | FI",-275798.6665700107,-36.922199334611726,7469.724760178917,4,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | SE",-218465.29681116965,-29.246766624629544,7469.724760178917,5,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,"carbon dioxide transport extension, pipeline 50 to 2000 km, LCSS 2026 | ENC",215177.25951671123,28.806584770542102,7469.724760178917,6,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | DK",-203008.3301305468,-27.177484666206666,7469.724760178917,7,kg CO2-Eq,2bf05a0b33e5632afe17
